Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta,Analyst_Rating,Target_Price,Upside_%
CORT,Fortress,40.83,46.93,Healthcare,18.75,19.57,4.92,26.14,3.141,100.0,4.3,0.26,2.16667,94.2,130.71
SGHC,Fortress,8.52,20.29,Consumer Cyclical,7.69,31.26,23.52,10.14,1.75,32.04,4.31,1.1,1.25,17.625,106.87
TTD,Fortress,27.23,30.94,Communication Services,3.72,13.19,21.8,11.35,1.71,100.0,13.31,1.09,2.15789,53.48485,96.42
INTU,Fortress,399.69,27.41,Technology,5.7,19.11,15.7,22.96,1.386,20.57,111.27,1.23,1.62857,767.53656,92.03
PEGA,Fortress,37.93,24.79,Technology,6.83,31.53,3.79,6.89,1.359,219.39,6.49,1.07,1.5,70.90909,86.95
BRBR,Fortress,17.59,12.13,Consumer Defensive,5.5,54.3,14.61,16.89,2.234,5.23,2.08,0.72,1.73333,31.42857,78.67
VEEV,Fortress,177.04,34.58,Healthcare,13.73,11.64,29.69,22.99,7.527,100.0,29.1,1.08,2.0,308.63,74.33
EXLS,Fortress,30.25,20.44,Technology,7.45,21.13,14.37,14.12,2.905,14.57,4.89,0.88,1.66667,52.14286,72.37
APP,Fortress,456.81,53.93,Communication Services,21.66,39.37,76.8,15.8,3.25,5.95,154.52,2.49,1.57143,714.0,56.3
DOCS,Fortress,25.96,21.82,Healthcare,18.29,20.77,38.89,34.85,6.63,100.0,4.89,1.39,1.71429,40.19048,54.82
MSFT,Fortress,404.37,25.29,Technology,8.31,26.37,47.09,43.52,1.386,52.84,3005.43,1.08,1.26786,596.1843,47.44
ELF,Fortress,76.82,43.4,Consumer Defensive,7.27,15.14,13.8,11.51,2.759,9.74,4.58,1.68,1.625,112.78571,46.82
BIRK,Fortress,40.0,17.94,Consumer Cyclical,3.19,12.15,22.04,24.04,2.811,7.22,7.36,1.19,1.47826,58.65038,46.63
MAT,Fortress,15.8,11.97,Consumer Cyclical,3.01,14.18,22.18,12.26,1.598,6.24,5.09,0.69,1.78571,23.0,45.57
DV,Fortress,9.61,36.96,Communication Services,6.34,7.67,11.19,12.15,3.978,80.42,1.57,0.98,2.3,13.77778,43.37
PDD,Fortress,104.57,10.53,Consumer Cyclical,3.17,41.91,23.11,20.47,2.355,100.0,148.45,-0.01,1.775,148.81044,42.31
DLO,Fortress,12.82,22.89,Technology,5.38,30.69,19.68,28.06,1.456,302.44,3.78,1.1,1.7,18.0,40.41
ANF,Fortress,91.48,8.8,Consumer Cyclical,5.16,35.93,12.0,9.51,1.384,64.65,4.31,1.16,1.91667,127.55556,39.44
DT,Fortress,37.13,61.88,Technology,5.23,6.5,14.11,9.07,1.565,,11.19,0.81,1.67647,50.54839,36.14
AMD,Fortress,213.58,81.83,Technology,16.03,6.33,17.06,6.47,2.85,32.6,348.22,1.95,1.5283,288.5,35.08
AVGO,Fortress,342.76,71.86,Technology,11.9,17.0,31.77,39.71,1.705,8.08,1625.12,1.22,1.22,458.5886,33.79
NVDA,Fortress,190.05,47.16,Technology,91.2,90.08,63.17,43.63,4.468,341.19,4627.15,2.31,1.34921,253.7938,33.54
A,Fortress,128.9,28.21,Healthcare,4.97,14.9,26.38,21.88,1.957,13.81,36.54,1.3,1.7619,169.66667,31.63
