Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta,P/B Ratio,ROE %,Debt/Eq %
GMAB,Fortress,30.06,13.18,Healthcare,11.19,22.92,44.91,35.78,6.034,77.37,18.52,0.8,0.32,29.41,2.47
ACHC,Risky,15.53,13.39,Healthcare,1.18,8.52,14.04,17.48,1.444,3.94,1.4,0.88,0.45,3.69,74.49
KT,Risky,23.39,16.71,Communication Services,,,7.48,5.94,1.237,,11.28,0.09,0.47,5.08,60.17
SSL,Risky,7.59,11.5,Basic Materials,1.47,7.45,16.08,17.97,1.874,2.32,4.84,0.16,0.51,5.07,76.56
WB,Strong,10.18,5.82,Communication Services,2.01,9.5,26.53,28.17,3.346,4.99,2.51,0.15,0.63,12.37,47.28
MOMO,Strong,6.49,10.47,Communication Services,1.89,16.3,13.0,15.07,5.205,15.28,1.04,0.46,0.63,6.72,1.43
GGB,Strong,4.35,15.0,Basic Materials,1.88,8.24,8.73,17.38,2.704,7.86,8.59,0.93,0.82,5.51,36.52
HLX,Risky,8.85,31.61,Energy,1.78,5.06,12.69,1.88,2.541,3.42,1.3,1.24,0.83,2.71,39.52
SMPL,Strong,16.42,18.24,Consumer Defensive,2.92,7.01,12.79,16.38,5.007,6.85,1.56,0.25,0.9,5.17,26.01
MT,Strong,66.65,16.22,Basic Materials,2.47,5.07,3.55,10.7,1.359,6.72,51.08,1.65,0.93,6.01,23.72
