Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),EV/EBITDA,Sector_Avg_EV_EBITDA,Discount_%,Bandwidth_%,Squeeze_Threshold
HOLX,Fortress,74.98,30.11,Healthcare,4.17,9.93,32.74,23.67,3.754,6.82,16.73,12.68,20.85,39.18,1.11,1.11
COO,Fortress,82.37,44.05,Healthcare,3.83,5.91,13.54,16.25,1.893,6.66,16.38,17.68,20.85,15.2,3.87,7.5
GIL,Fortress,63.22,20.33,Consumer Cyclical,5.28,20.83,23.23,19.48,2.008,7.02,11.71,13.02,14.37,9.39,4.13,6.68
ALC,Fortress,79.0,37.62,Healthcare,3.3,5.16,12.85,9.99,2.118,7.54,38.95,16.95,20.85,18.71,4.66,4.9
YUMC,Fortress,47.55,19.73,Consumer Cyclical,3.83,13.58,12.6,8.82,1.32,100.0,16.85,10.24,14.37,28.74,5.05,6.4
STLD,Fortress,173.58,22.99,Basic Materials,5.84,15.95,10.52,20.15,3.107,36.19,25.55,14.65,15.97,8.27,6.0,8.54
RAL,Fortress,53.53,33.04,Technology,4.54,9.44,9.83,21.59,1.488,100.0,6.04,18.91,22.16,14.67,6.37,6.42
G,Fortress,45.91,14.81,Technology,3.92,18.8,15.86,13.53,1.514,9.51,8.0,10.22,22.16,53.88,6.62,6.74
FOXA,Fortress,71.99,16.18,Communication Services,3.52,17.07,26.32,18.62,3.238,8.6,31.96,9.89,19.16,48.38,6.91,8.75
LULU,Fortress,201.87,14.05,Consumer Cyclical,7.95,43.47,16.99,22.47,2.13,100.0,23.94,8.31,14.37,42.17,7.32,11.11
AVGO,Fortress,351.71,73.58,Technology,12.19,17.0,31.77,39.71,1.705,8.08,1667.55,4.97,22.16,77.57,7.6,9.9
FOX,Fortress,65.42,14.7,Communication Services,3.46,17.07,26.32,18.62,3.238,8.6,30.81,9.07,19.16,52.66,7.7,9.24
DLO,Fortress,14.05,25.09,Technology,5.69,30.69,19.68,28.06,1.456,302.44,4.14,17.11,22.16,22.79,8.49,11.87
LNTH,Fortress,64.25,26.66,Healthcare,5.44,25.9,11.36,10.84,2.667,22.91,4.37,11.02,20.85,47.15,8.56,10.51
DECK,Fortress,100.69,14.96,Consumer Cyclical,12.64,44.52,22.82,20.3,3.067,354.51,14.94,10.37,14.37,27.84,9.91,11.29
AEO,Fortress,25.44,22.51,Consumer Cyclical,4.07,15.09,8.26,8.18,1.634,,4.31,12.0,14.37,16.49,10.52,16.41
FSM,Fortress,10.42,12.4,Basic Materials,4.11,12.97,64.23,18.55,3.298,8.31,3.2,4.83,15.97,69.76,10.7,12.44
PLAB,Fortress,34.53,15.14,Technology,7.86,13.54,24.15,26.03,5.366,4033.44,2.04,6.58,22.16,70.31,11.71,12.61
IAG,Fortress,17.17,30.12,Basic Materials,4.09,20.2,35.3,7.83,1.684,374.85,10.18,11.5,15.97,27.99,12.72,22.12
SMCI,Fortress,32.66,25.72,Technology,4.58,10.89,3.63,7.73,5.394,21.34,19.5,20.7,22.16,6.59,12.82,17.47
SHLS,Fortress,9.27,48.79,Technology,4.99,7.26,18.78,16.57,2.19,3.74,1.55,20.49,22.16,7.54,14.86,18.75
