Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta,EV/EBITDA,Sector_Avg_EV_EBITDA,Discount_%,SMA_200,Trend_Dist_%,Bandwidth_%,In_Squeeze
HOLX,Fortress,75.09,31.16,Healthcare,4.17,9.93,22.99,23.67,4.04,6.82,16.76,0.73,12.54,19.25,34.86,68.4,9.78,1.02,YES
COO,Fortress,83.05,44.41,Healthcare,3.85,5.91,13.54,16.25,1.893,6.66,16.51,1.03,17.54,19.25,8.88,74.77,11.08,4.83,YES
EXPD,Fortress,161.89,26.37,Industrials,9.29,38.74,9.95,10.54,1.794,,21.97,1.13,18.13,21.05,13.87,128.36,26.12,4.93,YES
HAL,Fortress,35.03,23.35,Energy,3.51,10.93,14.9,15.99,2.04,6.03,29.48,0.75,8.41,9.57,12.12,24.52,42.87,9.57,YES
ASO,Fortress,59.46,10.93,Consumer Cyclical,3.1,14.6,7.26,11.68,1.706,15.6,3.96,1.25,8.83,13.2,33.11,49.36,20.46,11.54,YES
DHI,Fortress,163.85,14.91,Consumer Cyclical,6.36,13.2,11.02,17.22,6.332,100.0,47.7,1.45,11.35,13.2,14.02,146.85,11.57,12.42,YES
WLTH,Fortress,7.88,0.0,Technology,3.63,54.22,33.72,38.49,1.685,50.55,1.18,,8.86,23.84,62.84,,,25.77,YES
MDT,Fortress,101.08,27.39,Healthcare,3.01,8.07,20.3,18.47,2.415,8.72,129.65,0.72,15.77,19.25,18.08,92.74,8.99,6.68,No
GNTX,Fortress,24.42,14.03,Consumer Cyclical,13.61,18.68,18.64,21.19,2.912,100.0,5.36,0.76,8.55,13.2,35.23,24.2,0.89,6.98,No
CRH,Fortress,127.83,25.51,Basic Materials,3.65,13.21,18.0,12.3,1.453,8.7,85.41,1.18,14.3,15.88,9.95,109.9,16.32,7.5,No
GD,Fortress,346.34,22.39,Industrials,4.25,13.61,10.14,10.24,1.444,13.69,93.65,0.4,16.45,21.05,21.85,318.82,8.63,7.71,No
RMD,Fortress,259.62,25.65,Healthcare,13.02,23.58,35.16,29.4,3.06,,37.9,0.88,18.68,19.25,2.96,259.07,0.21,9.65,No
EXEL,Fortress,42.94,15.45,Healthcare,12.4,36.6,42.89,23.03,3.752,100.0,11.56,0.42,12.6,19.25,34.55,41.37,3.8,9.77,No
FERG,Fortress,267.36,27.09,Industrials,5.74,22.33,9.38,9.25,1.878,13.75,53.68,1.14,18.54,21.05,11.92,224.81,18.92,9.84,No
PCAR,Fortress,129.48,28.71,Industrials,3.88,16.07,8.83,13.51,1.701,100.0,68.03,1.04,19.71,21.05,6.37,100.54,28.78,10.18,No
INCY,Fortress,98.84,15.42,Healthcare,8.68,30.63,25.48,15.92,3.295,686.52,19.4,,11.29,19.25,41.35,85.15,16.08,10.62,No
CPRX,Fortress,23.93,13.99,Healthcare,16.76,26.7,44.66,36.56,6.622,100.0,2.94,0.73,7.74,19.25,59.79,22.3,7.33,11.2,No
CNM,Fortress,57.84,25.37,Industrials,3.69,14.37,10.67,10.21,2.265,5.06,11.42,0.98,14.48,21.05,31.21,55.85,3.56,11.36,No
HSIC,Fortress,81.69,25.77,Healthcare,3.21,8.69,6.14,6.32,1.396,4.92,9.91,0.89,14.23,19.25,26.08,70.99,15.08,11.98,No
NXPI,Fortress,249.75,31.42,Technology,3.64,16.43,27.62,26.82,2.046,8.79,62.97,1.46,16.69,23.84,29.99,216.65,15.28,12.07,No
EOG,Fortress,118.22,11.73,Energy,4.2,19.98,33.22,40.18,1.624,60.55,64.55,0.47,5.59,9.57,41.59,111.22,6.29,12.2,No
OPCH,Fortress,34.67,27.52,Healthcare,3.92,12.59,5.89,6.35,1.557,6.78,5.63,0.84,15.51,19.25,19.43,30.51,13.63,12.76,No
AVGO,Fortress,342.76,71.86,Technology,11.9,17.0,31.77,39.71,1.705,8.08,1625.12,1.22,4.84,23.84,79.7,310.61,10.35,13.33,No
KBH,Fortress,63.92,10.39,Consumer Cyclical,3.82,9.03,8.35,11.66,6.618,100.0,4.14,1.49,8.99,13.2,31.89,58.59,9.09,13.61,No
CF,Fortress,96.93,11.72,Basic Materials,3.08,15.03,33.94,36.5,2.273,13.68,15.7,0.69,6.4,15.88,59.7,86.32,12.29,13.99,No
TOL,Fortress,161.47,11.98,Consumer Cyclical,4.26,15.08,17.67,16.61,4.108,,15.34,1.47,8.96,13.2,32.12,128.72,25.44,14.12,No
PHM,Fortress,139.32,12.53,Consumer Cyclical,6.51,17.46,16.3,20.38,7.55,4813.1,27.16,1.34,8.62,13.2,34.7,119.1,16.97,14.2,No
TGNA,Fortress,20.79,9.95,Communication Services,3.1,13.73,15.89,25.73,2.218,5.57,3.35,0.14,8.2,15.14,45.84,18.64,11.54,14.26,No
TEL,Fortress,228.46,32.97,Technology,5.29,16.44,20.9,18.3,1.651,42.61,67.06,1.24,15.75,23.84,33.93,205.02,11.43,14.34,No
J,Fortress,142.36,37.56,Industrials,3.1,8.72,7.43,6.24,1.33,4.73,16.81,0.77,15.84,21.05,24.75,139.82,1.81,14.66,No
FSLR,Fortress,227.74,17.48,Technology,5.18,14.38,29.23,16.04,1.91,37.18,24.44,1.63,11.46,23.84,51.93,209.88,8.51,14.79,No
LEN,Fortress,120.99,15.16,Consumer Cyclical,4.24,8.43,7.69,14.44,5.823,100.0,29.88,1.46,8.66,13.2,34.39,117.32,3.13,14.86,No
ALKS,Fortress,34.91,17.37,Healthcare,7.25,29.32,22.6,14.92,3.672,20.65,5.76,0.46,12.07,19.25,37.3,29.79,17.18,15.73,No
AEO,Fortress,23.84,21.1,Consumer Cyclical,3.99,15.09,8.26,8.18,1.634,,4.04,1.38,11.4,13.2,13.64,16.4,45.35,16.0,No
BLDR,Fortress,126.94,24.09,Industrials,3.54,18.12,5.8,12.76,1.786,7.68,14.04,1.55,11.86,21.05,43.66,120.18,5.62,16.02,No
TEX,Fortress,69.08,29.27,Industrials,3.13,10.67,10.45,10.14,2.151,5.58,7.84,1.66,10.35,21.05,50.83,50.48,36.84,17.31,No
ANF,Fortress,91.48,8.8,Consumer Cyclical,5.16,35.93,12.0,9.51,1.384,64.65,4.31,1.16,5.63,13.2,57.35,89.41,2.31,17.36,No
MWA,Fortress,29.44,23.18,Industrials,4.84,17.64,18.86,13.99,4.019,14.38,4.6,1.17,14.06,21.05,33.21,25.12,17.18,17.49,No
PLAB,Fortress,38.1,16.71,Technology,8.47,13.54,24.15,26.03,5.366,4033.44,2.25,1.51,7.21,23.84,69.76,24.15,57.79,17.56,No
LPX,Fortress,97.01,31.39,Industrials,7.51,24.81,4.98,26.98,2.932,43.08,6.76,1.78,14.47,21.05,31.26,88.65,9.43,17.79,No
FLS,Fortress,86.54,32.78,Industrials,4.35,11.29,16.27,7.35,2.026,6.57,11.0,1.3,15.87,21.05,24.61,59.22,46.14,17.97,No
MAS,Fortress,76.48,19.81,Industrials,4.22,34.07,14.78,16.58,1.805,12.24,16.01,1.28,13.22,21.05,37.2,66.51,15.0,18.13,No
SHLS,Fortress,9.79,51.53,Technology,5.22,7.26,18.78,16.57,2.19,3.74,1.64,1.71,22.47,23.84,5.75,7.22,35.59,18.22,No
HAFN,Fortress,6.63,10.87,Industrials,3.25,27.25,16.77,24.63,1.476,15.86,3.32,-0.27,8.61,21.05,59.1,5.69,16.52,18.35,No
DHT,Fortress,15.48,11.82,Energy,4.12,15.43,47.41,18.35,2.796,6.99,2.49,-0.08,8.41,9.57,12.12,12.15,27.46,18.35,No
DLO,Fortress,12.82,22.89,Technology,5.38,30.69,19.68,28.06,1.456,302.44,3.78,1.1,15.73,23.84,34.02,12.77,0.43,18.42,No
MHK,Fortress,134.9,20.07,Consumer Cyclical,3.06,6.87,6.66,7.93,2.246,14.32,8.38,1.21,7.79,13.2,40.98,116.25,16.05,18.67,No
RIO,Fortress,99.52,15.85,Basic Materials,4.4,18.94,25.05,34.74,1.526,10.59,198.66,0.62,9.66,15.88,39.17,67.91,46.55,18.85,No
AEM,Fortress,217.19,31.75,Basic Materials,7.89,10.21,53.1,29.01,2.12,33.63,109.04,0.66,15.14,15.88,4.66,151.04,43.8,20.1,No
AOS,Fortress,80.22,20.84,Industrials,9.16,31.95,17.95,18.75,1.497,53.97,11.24,1.34,13.85,21.05,34.2,68.57,16.98,20.15,No
NEM,Fortress,124.6,19.38,Basic Materials,3.82,10.15,46.85,16.86,2.039,13.21,136.87,0.44,10.82,15.88,31.86,79.15,57.43,20.32,No
B,Fortress,47.64,16.26,Basic Materials,4.1,19.24,52.58,33.23,2.922,20.7,79.81,0.98,8.74,15.88,44.96,31.04,53.46,20.54,No
SOLS,Fortress,74.95,75.71,Basic Materials,5.35,19.1,17.65,23.23,1.532,5.03,11.9,,10.25,15.88,35.45,,,21.2,No
TTEK,Fortress,40.42,30.39,Industrials,4.8,14.41,12.88,9.98,1.314,10.29,10.54,0.9,18.07,21.05,14.16,35.25,14.68,21.42,No
HALO,Fortress,79.51,16.77,Healthcare,5.51,29.89,61.51,49.45,1.587,31.79,9.35,0.98,12.63,19.25,34.39,65.36,21.65,21.52,No
VSNT,Fortress,28.4,4.85,Communication Services,3.28,14.53,9.8,27.36,2.18,8.63,4.1,,1.57,15.14,89.63,,,21.54,No
BIIB,Fortress,191.2,21.75,Healthcare,3.25,6.99,19.64,23.96,2.679,6.82,28.06,0.16,8.48,19.25,55.95,148.48,28.77,22.11,No
FOX,Fortress,55.45,13.3,Communication Services,3.19,17.07,11.35,18.62,2.784,8.6,25.89,0.51,8.53,15.14,43.66,55.36,0.16,22.45,No
