Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
LRN,Fortress,85.87,13.19,Consumer Defensive,5.6,19.77,5.38,11.99,7.27,37.48,3.77,0.12
TGNA,Fortress,20.79,9.95,Communication Services,3.1,13.73,15.89,25.73,2.218,5.57,3.35,0.14
BIIB,Fortress,191.2,21.75,Healthcare,3.25,6.99,19.64,23.96,2.679,6.82,28.06,0.16
CALM,Fortress,83.18,3.51,Consumer Defensive,9.49,57.77,16.18,21.94,8.017,2620.51,3.96,0.25
INFY,Fortress,15.76,20.47,Technology,9.71,36.24,18.38,21.48,1.812,91.76,63.76,0.26
CORT,Fortress,40.83,46.93,Healthcare,18.75,19.57,4.92,26.14,3.141,100.0,4.3,0.26
DRS,Fortress,37.87,38.25,Industrials,4.15,9.29,9.79,11.57,2.002,13.57,10.08,0.27
NBIX,Fortress,137.44,32.8,Healthcare,8.86,19.08,30.1,20.18,3.383,4.84,13.7,0.31
HRL,Fortress,23.95,27.53,Consumer Defensive,3.5,6.17,7.22,8.74,2.466,9.5,13.18,0.33
BAH,Fortress,79.79,11.84,Industrials,4.04,25.78,9.73,8.49,1.807,7.42,9.83,0.35
IMAX,Fortress,36.49,51.39,Communication Services,3.1,7.38,27.25,7.82,3.942,5.66,1.96,0.37
GD,Fortress,346.34,22.39,Industrials,4.25,13.61,10.14,10.24,1.444,13.69,93.65,0.4
EXEL,Fortress,42.94,15.45,Healthcare,12.4,36.6,42.89,23.03,3.752,100.0,11.56,0.42
VNOM,Fortress,43.85,18.05,Energy,8.01,11.51,50.63,72.8,1.879,7.82,14.3,0.43
NEM,Fortress,124.6,19.38,Basic Materials,3.82,10.15,46.85,16.86,2.039,13.21,136.87,0.44
MNST,Fortress,80.79,45.9,Consumer Defensive,30.43,29.15,30.74,27.67,3.185,100.0,78.93,0.45
ALKS,Fortress,34.91,17.37,Healthcare,7.25,29.32,22.6,14.92,3.672,20.65,5.76,0.46
EOG,Fortress,118.22,11.73,Energy,4.2,19.98,33.22,40.18,1.624,60.55,64.55,0.47
LBRT,Fortress,24.46,27.48,Energy,3.44,8.3,2.78,9.76,1.219,5.84,3.96,0.51
FOXA,Fortress,61.11,14.65,Communication Services,3.19,17.07,11.35,18.62,2.784,8.6,26.0,0.51
