Ticker,Tier,Price,Sector,Z-Score,ROIC %,Op Margin %,Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%,Num_Analysts
NAGE,Fortress,6.6,Healthcare,13.25,15.35,12.46,4.122,,0.53,1.0,15.8,139.76,5
MNKD,Fortress,5.765,Healthcare,-7.27,21.95,22.86,3.288,1.8,1.77,1.11111,9.61111,66.57,9
HLX,Fortress,6.27,Energy,1.57,5.06,12.69,2.541,3.42,0.92,2.0,10.0,59.11,4
LRN,Fortress,66.55,Consumer Defensive,4.98,19.77,5.38,6.775,37.48,2.92,2.0,105.0,57.71,4
CXW,Fortress,19.325,Industrials,1.66,6.02,9.34,1.41,2.36,2.07,1.0,29.875,54.43,4
DOCS,Fortress,44.21,Healthcare,29.59,20.77,38.55,7.786,100.0,8.32,2.15,67.9,53.5,20
VITL,Fortress,32.48,Consumer Defensive,12.93,24.41,10.76,2.651,67.87,1.45,1.16667,49.45455,52.12,11
TME,Fortress,17.705,Communication Services,2.05,11.96,29.13,2.085,71.26,29.82,1.40625,26.846188,51.83,30
BIRK,Fortress,41.235,Consumer Cyclical,3.26,12.15,22.04,2.811,7.22,7.58,1.5,61.635685,49.67,21
GNRC,Fortress,138.19,Industrials,4.04,12.25,9.25,2.183,5.56,8.11,1.80952,206.5294,49.12,17
GPRK,Fortress,7.315,Energy,1.75,33.49,25.9,2.63,7.68,0.38,1.85714,10.9,49.11,6
SMPL,Fortress,19.99,Consumer Defensive,3.37,7.01,15.69,3.642,6.85,2.0,2.0,29.6,48.07,10
SGHC,Fortress,11.96,Consumer Cyclical,9.68,31.26,23.52,1.75,32.04,6.05,1.25,17.625,47.24,8
CRDO,Fortress,144.4,Technology,123.87,5.42,29.4,8.858,100.0,26.08,1.26667,211.6,46.23,15
SE,Fortress,130.815,Consumer Cyclical,3.94,7.21,7.95,1.435,21.31,77.45,1.36364,190.97356,45.88,31
BRBR,Fortress,27.37,Consumer Defensive,6.02,54.3,15.77,2.353,5.23,3.28,1.8125,38.0,39.04,15
