Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
WPM,Fortress,149.11,67.78,Basic Materials,247.65,8.72,66.54,50.89,8.089,2269.82,67.79,0.98
NVDA,Fortress,190.05,47.16,Technology,91.2,90.08,63.17,43.63,4.468,341.19,4627.15,2.31
ISRG,Fortress,496.12,63.04,Healthcare,43.9,15.96,30.15,26.88,4.875,100.0,176.19,1.66
ASM,Fortress,10.29,73.5,Basic Materials,42.01,11.12,32.56,6.68,2.754,38.26,1.61,2.77
TER,Fortress,321.45,92.37,Technology,36.55,19.87,28.34,24.67,1.757,170.8,51.13,1.82
FAST,Fortress,47.02,43.14,Industrials,33.64,38.3,18.95,20.46,4.852,267.94,53.99,0.89
MNST,Fortress,80.79,45.9,Consumer Defensive,30.43,29.15,30.74,27.67,3.185,100.0,78.93,0.45
RMBS,Fortress,99.38,47.32,Technology,30.15,15.97,37.23,19.68,8.201,142.27,10.7,1.52
ANET,Fortress,140.66,53.48,Technology,28.97,26.03,42.38,36.7,3.254,100.0,177.13,1.44
CPRT,Fortress,39.51,24.24,Industrials,28.72,18.04,37.29,37.83,7.939,,38.25,1.08
ODFL,Fortress,194.46,40.18,Industrials,22.72,31.47,23.27,27.6,1.436,7348.16,40.87,1.27
TSEM,Fortress,134.44,77.71,Technology,22.19,7.92,12.78,14.02,6.61,54.97,15.12,0.89
APP,Fortress,456.81,53.93,Communication Services,21.66,39.37,76.8,15.8,3.25,5.95,154.52,2.49
LRCX,Fortress,235.12,48.28,Technology,19.59,41.53,33.87,30.48,2.256,34.43,295.32,1.78
CORT,Fortress,40.83,46.93,Healthcare,18.75,19.57,4.92,26.14,3.141,100.0,4.3,0.26
DOCS,Fortress,25.96,21.82,Healthcare,18.29,20.77,38.89,34.85,6.63,100.0,4.89,1.39
CPRX,Fortress,23.93,13.99,Healthcare,16.76,26.7,44.66,36.56,6.622,100.0,2.94,0.73
AMD,Fortress,213.58,81.83,Technology,16.03,6.33,17.06,6.47,2.85,32.6,348.22,1.95
GRMN,Fortress,206.58,25.47,Technology,15.94,19.62,25.8,22.95,3.316,100.0,39.77,1.0
GOOG,Fortress,311.33,28.83,Communication Services,15.08,32.4,31.57,29.51,2.005,216.8,3766.16,1.09
AMAT,Fortress,339.88,39.29,Technology,14.39,33.71,28.44,29.46,2.61,35.46,269.77,1.68
