Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
WPM.TO,Fortress,188.28,61.33,Basic Materials,311.94,8.72,66.54,50.89,8.089,2269.82,85.48
FNV.TO,Fortress,338.77,51.02,Basic Materials,118.39,12.2,70.04,62.22,4.641,7640.0,65.31
LUG.TO,Fortress,115.97,29.51,Basic Materials,57.21,66.57,62.0,45.55,3.227,3.65,28.0
DPM.TO,Fortress,46.04,19.34,Basic Materials,48.2,20.76,42.96,36.22,2.774,176.88,10.22
ASM.TO,Fortress,9.84,51.79,Basic Materials,40.21,11.12,32.56,6.68,2.754,38.26,1.54
KNT.TO,Fortress,26.11,18.26,Basic Materials,27.1,30.81,68.87,35.98,3.285,456.18,6.35
DSG.TO,Fortress,122.39,49.55,Technology,25.25,13.47,30.54,27.88,1.834,191.87,10.52
WDO.TO,Fortress,25.83,13.52,Basic Materials,15.78,29.95,55.55,21.26,4.793,83.52,3.9
GRGD.TO,Fortress,77.7,41.11,Consumer Cyclical,13.63,45.97,33.04,16.06,1.713,6.57,8.42
OGC.TO,Fortress,44.87,18.93,Basic Materials,12.23,12.37,36.34,20.19,1.274,12.14,10.25
DNG.TO,Fortress,6.05,11.86,Basic Materials,10.12,25.9,7.9,9.47,4.633,68.99,0.25
AEM.TO,Fortress,274.73,28.89,Basic Materials,9.79,10.21,53.1,29.01,2.12,33.63,138.01
TXG.TO,Fortress,72.43,15.35,Basic Materials,9.69,19.55,43.61,32.65,1.377,100.0,6.96
ALS.TO,Fortress,45.09,5.89,Basic Materials,9.55,15.66,41.82,50.25,8.46,11.53,2.09
K.TO,Fortress,46.82,23.53,Basic Materials,8.86,15.62,44.25,13.05,2.83,30.33,57.06
MSA.TO,Fortress,6.53,8.82,Basic Materials,8.86,31.48,37.5,22.59,1.691,18.14,1.93
ATZ.TO,Fortress,125.22,42.74,Consumer Cyclical,8.4,17.56,16.31,11.61,1.437,6.99,14.45
PAAS.TO,Fortress,76.8,32.0,Basic Materials,8.35,7.36,30.05,7.2,2.313,10.07,32.41
AGI.TO,Fortress,54.14,30.42,Basic Materials,8.25,10.53,80.68,28.96,1.717,35.88,22.73
APM.TO,Fortress,10.58,14.9,Basic Materials,7.88,15.31,33.71,5.28,2.678,6.17,1.57
HWX.TO,Fortress,10.37,14.21,Energy,7.78,30.1,38.65,38.91,1.316,101.82,2.48
LIF.TO,Fortress,31.31,18.31,Basic Materials,7.68,20.26,75.13,76.04,1.785,100.0,2.0
TIH.TO,Fortress,178.19,29.4,Industrials,7.15,19.84,14.41,13.97,3.091,25.26,14.5
PSI.TO,Fortress,12.28,15.74,Energy,6.84,18.43,20.03,29.62,2.529,100.0,0.96
GIL.TO,Fortress,87.97,20.36,Consumer Cyclical,6.49,20.83,23.23,19.48,2.008,7.02,16.29
CG.TO,Fortress,22.41,10.0,Basic Materials,6.12,8.84,34.06,13.73,2.888,160.69,4.52
BDGI.TO,Fortress,81.81,32.34,Industrials,6.07,15.63,13.16,6.6,1.477,5.63,2.76
TCW.TO,Fortress,6.2,11.07,Energy,5.9,27.03,12.69,11.85,2.874,59.65,1.32
RUS.TO,Fortress,47.83,16.38,Industrials,5.54,12.78,4.4,9.08,3.622,9.67,2.66
ABX.TO,Fortress,67.79,23.46,Basic Materials,5.42,11.18,49.01,30.18,2.944,11.89,115.65
MDI.TO,Fortress,14.06,74.0,Basic Materials,5.37,6.6,8.4,10.02,2.487,,1.15
VNP.TO,Fortress,20.44,30.06,Basic Materials,5.35,10.36,25.48,5.91,2.973,3.57,1.82
IMG.TO,Fortress,23.95,30.32,Basic Materials,5.31,20.2,35.3,7.83,1.684,374.85,14.2
FVI.TO,Fortress,14.49,12.38,Basic Materials,5.26,12.97,64.23,18.55,3.298,8.31,4.45
CEU.TO,Fortress,13.56,17.16,Energy,5.01,22.0,10.52,9.13,3.016,7.88,2.88
NWC.TO,Fortress,49.32,16.78,Consumer Defensive,4.77,16.76,9.46,8.38,2.258,11.2,2.35
ATH.TO,Fortress,6.98,8.02,Energy,4.75,29.97,27.38,25.32,2.016,13.06,3.39
IMO.TO,Fortress,136.24,17.4,Energy,4.56,17.48,11.59,12.66,1.472,153.17,69.35
ENGH.TO,Fortress,19.42,14.49,Technology,4.45,14.43,20.01,19.4,1.715,182.27,1.06
FRU.TO,Fortress,15.76,19.7,Energy,4.16,14.28,51.54,57.64,1.63,13.41,2.58
MRU.TO,Fortress,97.57,21.07,Consumer Defensive,4.13,11.89,6.45,6.83,1.296,9.05,21.22
STN.TO,Fortress,139.18,32.83,Industrials,4.1,11.72,13.66,7.34,1.27,4.95,15.88
CCL-B.TO,Fortress,85.42,18.61,Consumer Cyclical,3.9,14.28,15.28,14.17,2.194,10.75,14.8
ARIS.TO,Fortress,25.18,66.26,Basic Materials,3.79,5.73,40.92,29.55,2.415,3.9,5.11
FTT.TO,Fortress,85.71,20.41,Industrials,3.78,17.81,8.23,8.0,1.648,5.33,11.36
ELD.TO,Fortress,56.02,22.14,Basic Materials,3.65,8.4,39.69,19.59,2.794,22.64,11.26
RBA.TO,Fortress,157.09,53.8,Industrials,3.62,7.48,14.74,18.6,1.233,3.35,29.17
L.TO,Fortress,62.58,30.53,Consumer Defensive,3.55,13.53,6.89,6.01,1.35,4.59,73.92
PHX.TO,Fortress,7.84,7.26,Energy,3.31,24.67,2.0,8.13,1.901,32.76,0.35
POU.TO,Fortress,23.85,2.54,Energy,3.27,9.6,2.77,22.46,3.354,51.87,3.42
CMG.TO,Fortress,5.12,20.48,Technology,3.24,25.44,17.16,33.02,1.317,18.35,0.42
SIS.TO,Fortress,25.15,28.91,Industrials,3.2,9.03,14.69,8.76,1.836,4.51,1.8
FAR.TO,Fortress,2.54,11.55,Basic Materials,3.13,27.83,12.95,13.7,1.347,5.44,0.25
