Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Beta
SBET,Risky,6.62,0.0,Communication Services,1552.07,-199.21,967.58,-451.12,8.749,-12.79,1.3,11.89
TCGL,Risky,172.84,0.0,Technology,1085.01,-54.48,2.88,-13.99,2.056,-19.98,3.53,
QXO,Risky,27.06,0.0,Industrials,253.99,1.01,4.2,-32.16,3.055,847.87,19.11,2.49
RDDT,Risky,139.29,53.16,Communication Services,53.38,14.89,31.95,-16.58,11.56,100.0,26.61,
CWAN,Risky,23.6,15.13,Technology,31.3,1.12,3.19,2.78,1.965,,7.02,0.66
OR,Risky,43.86,56.23,Basic Materials,26.09,2.8,65.18,53.9,4.373,4.78,8.25,1.2
AMLX,Risky,14.35,0.0,Healthcare,25.54,-154.74,29104.21,-inf,13.702,,1.58,-0.3
INOD,Risky,45.41,44.96,Technology,20.26,32.91,18.8,-0.24,2.69,,1.45,2.42
ADMA,Risky,16.28,18.93,Healthcare,18.28,32.24,38.01,-14.17,7.128,10.02,3.88,0.48
PINS,Risky,19.09,6.7,Communication Services,14.58,3.64,5.58,2.46,8.363,,12.98,0.89
SNDK,Risky,599.34,0.0,Technology,14.43,-12.25,35.5,-7.02,3.114,-22.48,88.44,
TOST,Risky,28.02,63.68,Technology,13.25,3.88,5.14,-8.4,2.739,,16.48,1.93
VRTX,Risky,461.24,32.41,Healthcare,13.04,1.47,40.27,30.12,2.362,9.12,118.26,0.32
SLNO,Risky,40.05,0.0,Healthcare,12.36,-56.25,34.41,-inf,16.084,-760.26,2.15,-3.18
HIMS,Risky,16.69,31.49,Healthcare,12.07,12.73,1.97,-13.63,1.875,,3.8,2.47
INSP,Risky,68.21,46.72,Healthcare,11.74,8.12,4.3,-7.67,5.291,2657.95,2.02,0.72
SYM,Risky,58.4,0.0,Industrials,11.11,-13.71,1.86,-13.31,1.378,100.0,35.17,2.14
ALGM,Risky,42.81,0.0,Technology,10.36,-4.23,4.18,13.97,3.652,-1.82,7.93,1.64
HL,Risky,23.69,76.42,Basic Materials,10.33,4.17,37.6,10.41,2.153,2.33,15.87,1.24
FIGS,Risky,10.52,95.64,Consumer Cyclical,9.8,0.54,6.35,4.18,4.824,,1.73,1.3
DASH,Risky,175.47,88.18,Consumer Cyclical,9.54,-0.45,8.01,-7.99,2.045,,75.63,1.79
LQDA,Risky,40.17,0.0,Healthcare,9.4,-62.54,3.25,-448.13,2.202,-9.44,3.49,0.47
CVNA,Risky,364.07,82.93,Consumer Cyclical,8.95,14.71,9.79,-1.34,4.047,1.61,78.93,3.57
CHYM,Risky,20.64,0.0,Technology,8.74,-5.73,5.95,-23.2,4.942,100.0,7.73,
TUYA,Risky,2.16,27.0,Technology,8.51,-4.72,4.6,-50.88,8.127,100.0,1.32,0.45
GME,Risky,24.21,27.51,Consumer Cyclical,8.46,-0.32,6.33,-3.06,10.391,,10.85,2.12
GMED,Risky,88.26,28.56,Healthcare,7.88,5.0,22.21,16.26,4.13,100.0,11.92,1.06
BE,Risky,155.54,0.0,Industrials,7.28,-0.81,11.27,-8.07,5.98,-0.57,43.64,3.12
CRMD,Risky,7.43,3.36,Healthcare,7.0,-22.69,49.24,-inf,1.942,-529.83,0.59,1.3
MRVL,Risky,81.34,28.64,Technology,6.27,-3.88,17.73,-3.82,2.014,-3.72,68.98,1.98
GPGI,Risky,24.98,0.0,Industrials,6.24,-15.29,5.63,29.21,2.258,-3.01,7.23,1.02
ARQT,Risky,26.59,0.0,Healthcare,6.1,-41.89,8.59,-inf,3.5,-4.13,3.26,1.68
TNGX,Risky,12.61,0.0,Healthcare,5.98,-52.31,26.15,-315.63,8.88,100.0,1.7,1.76
TGTX,Risky,28.82,10.4,Healthcare,5.87,10.19,18.16,-3242.93,3.825,2.07,4.58,1.87
ARWR,Risky,61.55,38.47,Healthcare,5.81,11.84,15.46,-4268.44,3.38,1.58,8.62,1.22
SEI,Risky,53.73,57.16,Energy,5.72,4.61,22.84,11.21,2.395,4.13,3.86,1.12
CART,Risky,32.93,18.09,Consumer Cyclical,5.64,14.74,17.89,-14.55,3.643,100.0,8.68,1.0
STAA,Risky,17.25,0.0,Healthcare,5.6,-2.87,25.87,8.64,5.211,100.0,0.85,1.07
AUPH,Risky,14.51,25.91,Healthcare,5.5,2.71,40.49,-130.97,5.756,2.54,1.91,1.54
BVN,Risky,40.48,22.61,Basic Materials,5.48,13.5,35.35,-6.28,2.267,14.32,10.28,0.32
FPS,Risky,33.03,0.0,Industrials,5.45,3.34,11.0,1.12,1.515,0.79,7.62,
CLBT,Risky,14.26,37.53,Technology,5.31,-69.85,15.07,7.6,2.109,-9515.69,3.49,1.28
ZETA,Risky,16.01,0.0,Technology,5.3,-7.43,4.52,-31.48,3.011,-9.49,3.94,1.26
ALHC,Risky,20.39,0.0,Healthcare,5.28,-24.29,0.83,-8.75,1.612,-4.44,4.08,1.17
ROKU,Risky,87.89,0.0,Communication Services,5.26,-3.89,0.86,-9.13,2.739,-290.87,12.99,1.99
AVPT,Risky,10.56,0.0,Technology,5.22,2.42,10.09,-12.26,2.372,,2.28,1.11
FTAI,Risky,265.97,61.0,Industrials,5.0,6.39,31.17,24.24,5.843,1.06,27.28,1.57
FRPT,Risky,68.52,29.03,Consumer Defensive,4.61,4.05,8.9,-3.65,5.519,4.88,3.34,1.71
CMC,Risky,83.21,21.56,Basic Materials,4.27,2.59,10.61,10.83,4.473,3.36,9.24,1.46
HUBS,Risky,209.33,0.0,Technology,4.27,1.46,1.52,-4.34,1.607,8.71,11.03,1.39
MCHP,Risky,80.75,0.0,Technology,4.18,2.04,13.2,26.62,2.162,1.15,43.7,1.44
SONO,Risky,16.5,0.0,Technology,4.13,-10.63,18.4,-0.29,1.649,-107.6,1.99,1.99
VTEX,Risky,3.23,46.14,Technology,4.11,3.51,6.99,-21.72,3.097,27.05,0.59,1.33
ACAD,Risky,22.47,14.5,Healthcare,4.0,10.63,12.83,-19.93,3.019,100.0,3.8,0.66
GILD,Risky,155.8,24.12,Healthcare,3.92,3.55,45.23,37.25,1.453,1.71,193.32,0.39
ORGO,Risky,3.76,0.0,Healthcare,3.91,-0.3,14.69,6.94,3.319,-0.82,0.48,1.4
PATH,Risky,11.69,27.83,Technology,3.66,-7.87,3.18,-28.25,2.654,100.0,6.25,1.07
ITRG,Risky,3.68,24.53,Basic Materials,3.59,-3.52,29.5,-inf,1.575,-3.0,0.74,1.32
SE,Risky,114.52,50.01,Consumer Cyclical,3.53,7.21,7.95,-4.61,1.435,21.31,67.8,1.59
FLYW,Risky,11.13,0.0,Technology,3.39,0.29,15.77,-5.96,1.531,4.46,1.36,1.28
TAL,Risky,11.88,24.75,Consumer Defensive,3.33,-0.08,12.09,-4.04,2.071,,7.23,0.07
GROY,Risky,4.48,0.0,Basic Materials,3.29,-0.18,13.79,-1830.58,2.025,-0.17,1.02,0.99
DINO,Risky,58.76,27.85,Energy,3.27,2.82,7.78,5.64,1.913,2.32,10.99,0.81
RLX,Risky,2.44,27.11,Consumer Defensive,3.19,-0.67,9.02,0.7,9.304,100.0,3.1,1.12
SNPS,Risky,438.21,54.44,Technology,3.16,4.13,5.38,21.29,1.615,4.12,83.84,1.13
OKTA,Risky,88.18,80.16,Technology,3.09,0.74,3.1,-30.99,1.466,10.2,15.63,0.77
SRAD,Risky,17.05,50.15,Technology,3.09,5.21,18.47,8.5,1.364,1.29,5.05,2.01
BTSG,Risky,40.06,74.19,Healthcare,3.06,4.31,2.63,2.49,1.794,0.85,7.22,2.38
SHAK,Risky,97.04,95.14,Consumer Cyclical,2.98,1.08,5.19,1.37,1.841,7.97,4.14,1.75
EL,Risky,105.39,0.0,Consumer Defensive,2.95,-4.72,14.26,12.27,1.358,-1.91,38.12,1.11
PARR,Risky,42.43,9.14,Energy,2.93,1.6,17.59,3.33,1.515,0.53,2.16,1.19
SSRM,Risky,27.52,26.72,Basic Materials,2.93,-6.15,24.81,12.64,2.407,-23.47,5.61,0.54
TKO,Risky,210.38,80.61,Communication Services,2.89,2.36,15.63,30.6,1.456,1.14,17.28,0.23
QRVO,Risky,85.82,23.64,Technology,2.86,2.8,19.8,12.24,3.675,1.84,7.96,1.37
YMM,Risky,9.87,17.95,Technology,2.82,8.79,23.11,-12.52,6.256,100.0,10.32,0.22
ILMN,Risky,116.38,21.35,Healthcare,2.81,-22.69,20.71,3.45,2.075,-10.79,17.89,1.45
RVTY,Risky,101.1,49.08,Healthcare,2.65,3.51,19.03,19.7,1.682,4.28,11.73,1.09
LGN,Risky,53.62,0.0,Industrials,2.6,2.36,5.42,2.5,1.572,1.79,5.78,
DUOL,Risky,109.3,13.77,Technology,2.58,3.16,14.59,-8.93,2.821,100.0,5.05,0.85
APD,Risky,293.14,0.0,Basic Materials,2.57,-0.62,24.28,22.27,1.459,-1.06,65.27,0.89
ARDX,Risky,7.26,0.0,Healthcare,2.57,-5.25,4.23,-427.52,4.413,-0.93,1.76,0.58
