Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B)
TFPM.TO,Risky,51.42,36.73,Basic Materials,186.15,-0.41,58.42,44.57,1.676,-1.27,10.62
OR.TO,Risky,57.31,53.06,Basic Materials,34.17,2.8,65.18,53.9,4.373,4.78,10.79
GGD.TO,Risky,3.32,47.43,Basic Materials,23.87,6.48,29.13,-3.72,7.626,45.24,1.44
AYA.TO,Risky,22.36,0.0,Basic Materials,12.08,-7.1,27.81,1.27,1.958,-162.16,3.17
HSTR.V,Risky,3.0,16.67,Basic Materials,9.37,30.32,15.07,-inf,2.495,14.52,0.77
LMN.V,Risky,24.3,35.22,Technology,6.33,-20.5,20.48,16.17,2.044,-11.05,6.24
SCZ.V,Risky,16.24,18.25,Basic Materials,6.22,78.76,15.33,-3.59,1.581,87.35,1.48
PDN.TO,Risky,10.29,0.0,Energy,6.15,-4.79,16.74,-265.64,4.022,-1.85,4.67
TI.TO,Risky,5.6,29.47,Basic Materials,5.83,57.94,3.81,-3.77,1.385,2.67,0.51
ITR.V,Risky,5.8,27.62,Basic Materials,5.34,-3.52,29.5,-inf,1.575,-3.0,1.05
VLE.TO,Risky,8.54,2.69,Energy,3.68,20.85,29.3,-inf,2.436,17.05,0.91
SAP.TO,Risky,41.49,0.0,Consumer Defensive,3.39,0.94,6.23,4.82,1.617,0.84,17.02
SSRM.TO,Risky,31.81,22.24,Basic Materials,3.34,-6.15,24.81,12.64,2.407,-23.47,6.46
NEO.TO,Risky,19.42,0.0,Basic Materials,2.97,1.78,6.84,7.54,2.236,4.76,0.81
TNZ.TO,Risky,33.84,5.51,Energy,2.69,-4.73,3.16,1.22,1.44,-37.04,1.08
TECK-B.TO,Risky,70.35,28.6,Basic Materials,1.95,0.13,13.68,20.92,2.783,0.07,34.35
NTR.TO,Risky,92.38,17.94,Basic Materials,1.94,4.71,13.48,17.5,1.409,2.54,44.89
MRE.TO,Risky,10.7,0.0,Consumer Cyclical,1.91,4.76,5.47,4.39,1.206,1.69,0.78
EFN.TO,Risky,34.48,23.14,Industrials,1.86,4.53,49.36,25.67,4.155,339.53,13.79
ATS.TO,Risky,42.68,0.0,Industrials,1.81,0.44,10.34,7.75,1.63,0.16,4.14
BB.TO,Risky,5.4,90.0,Technology,1.59,1.52,13.12,-8.64,2.144,2.42,3.19
CAS.TO,Risky,13.29,66.45,Consumer Cyclical,1.57,2.81,6.78,4.21,1.526,0.8,1.35
ORV.TO,Risky,2.12,0.0,Basic Materials,1.36,-4.8,9.68,3.37,1.252,-3.1,0.29
MATR.TO,Risky,8.35,18.15,Energy,1.32,3.22,5.53,7.41,1.872,1.55,0.51
AFN.TO,Risky,29.55,0.0,Industrials,1.16,5.26,12.69,9.44,1.693,0.92,0.56
SOBO.TO,Risky,36.92,16.71,Energy,0.99,8.42,32.32,35.03,1.359,2.08,7.69
CU.TO,Risky,43.66,22.28,Utilities,0.98,5.0,28.41,28.48,1.557,2.23,11.87
ACO-X.TO,Risky,57.48,15.01,Utilities,0.84,5.74,22.8,25.32,1.809,2.65,6.57
CURA.TO,Risky,3.69,0.0,Healthcare,0.68,-0.66,1.26,5.92,1.472,-0.17,2.83
AQN.TO,Risky,9.0,90.0,Utilities,0.36,3.66,25.07,18.76,1.227,1.46,6.91
BHC.TO,Risky,9.73,7.21,Healthcare,0.07,7.87,26.74,18.31,1.304,1.12,3.61
OGI.TO,Risky,2.24,0.0,Healthcare,0.04,-3.51,1.49,-36.56,2.258,,0.3
RCH.TO,Risky,42.81,27.62,Consumer Cyclical,,,7.78,10.92,3.293,,2.35
